Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
INV2_GSconfig_Grid_Zero_DoD_Max_Offset_AC_Amps,INV2_GSconfig_Grid_Zero_DoD_Max_Offset_AC_Amps,,1000.00 (default),>H,TRUE,40999,
INV2_Load_kW,INV2_Load_kW,V,1 through 13,>H,TRUE,40932,
INV3_Grid_input_AC_voltage,INV3_Grid_input_AC_voltage,V,0.00-2000.00,>H,TRUE,41153,
INV3_Output_AC_Voltage,INV3_Output_AC_Voltage,V,1 through 13,>H,TRUE,41155,
INV3__operating_mode,INV3__operating_mode,V,0.00 to 100.00 (20 default),>H,TRUE,41156,
INV3_Error_flags,INV3_Error_flags,V,0.00-2000.00,>H,TRUE,41157,
INV3_Warning_flags,INV3_Warning_flags,V,1000.00 (default),>H,TRUE,41158,
INV3_AC_input_frequency,INV3_AC_input_frequency,V,0.00-2000.00,>H,TRUE,41171,
INV3_AC_input_voltage,INV3_AC_input_voltage,V,1000.00 (default),>H,TRUE,41172,
INV3_AC_input_state,INV3_AC_input_state,V,1 through 13,>H,TRUE,41173,
INV3_Sell_state,INV3_Sell_state,V,0.00 to 100.00 (20 default),>H,TRUE,41176,
INV3_Output_kW,INV3_Output_kW,V,1 through 13,>H,TRUE,41184,
INV3_Buy_kW,INV3_Buy_kW,V,0.00 to 100.00 (20 default),>H,TRUE,41185,
INV3_Sell_kW,INV3_Sell_kW,V,0.00-2000.00,>H,TRUE,41186,
INV3_Charge_kW,INV3_Charge_kW,V,1000.00 (default),>H,TRUE,41187,
INV3_Load_kW,INV3_Load_kW,V,1 through 13,>H,TRUE,41188,
INV3_GSconfig_Grid_Input_Mode,INV3_GSconfig_Grid_Input_Mode,,1000.00 (default),>H,TRUE,41216,
INV3_GSconfig_Sell_Volts,INV3_GSconfig_Sell_Volts,,1000.00 (default),>H,TRUE,41244,
INV3_GSconfig_Mini_Grid_LBX_Volts,INV3_GSconfig_Mini_Grid_LBX_Volts,,1000.00 (default),>H,TRUE,41252,
INV3_GSconfig_Grid_Zero_DoD_Volts,INV3_GSconfig_Grid_Zero_DoD_Volts,,1000.00 (default),>H,TRUE,41254,
INV3_GSconfig_Grid_Zero_DoD_Max_Offset_AC_Amps,INV3_GSconfig_Grid_Zero_DoD_Max_Offset_AC_Amps,,1000.00 (default),>H,TRUE,41255,
CC1_battery_voltage,CC1_battery_voltage,V,0.00-2000.00,>H,TRUE,40776,
CC1_battery_current,CC1_battery_current,V,1 through 13,>H,TRUE,40778,
CC1_charger_states,CC1_charger_states,V,0.00 to 100.00 (20 default),>H,TRUE,40780,
CC1_watt,CC1_watt,V,0.00-2000.00,>H,TRUE,40781,
CC2_battery_voltage,CC2_battery_voltage,V,0.00-2000.00,>H,TRUE,41032,
CC2_battery_current,CC2_battery_current,V,1 through 13,>H,TRUE,41034,
CC2_charger_states,CC2_charger_states,V,0.00 to 100.00 (20 default),>H,TRUE,41036,
CC2_watt,CC2_watt,V,0.00-2000.00,>H,TRUE,41037,
CC3_battery_voltage,CC3_battery_voltage,V,0.00-2000.00,>H,TRUE,41288,
CC3_battery_current,CC3_battery_current,V,1 through 13,>H,TRUE,41290,
CC3_charger_states,CC3_charger_states,V,0.00 to 100.00 (20 default),>H,TRUE,41292,
CC3_watt,CC3_watt,V,0.00-2000.00,>H,TRUE,41293,
SOC,SOC,percent,1000.00 (default),>H,TRUE,41425,
SOC_min,SOC_min,percent,1 through 13,>H,TRUE,41426,
SOC_max,SOC_max,percent,0.00 to 100.00 (20 default),>H,TRUE,41427,
Drop_AC_Input,Drop_AC_Input,int,0.00 to 100.00 (20 default),>H,TRUE,40497,
Battery_voltage,Battery_voltage,V,1 through 13,>H,TRUE,41409,
